,episode_no,ep_name,topic0,topic1,topic2,topic3,topic4,character
35,"(5, 27)",Cafe Disco,0.0005481953761144242,0.0005973102417189545,0.0024549324888779073,3.940925069768116e-05,0.001601584471782536,dwight
32,"(5, 28)",Company Picnic,0.009550858990220052,0.0033465286725646356,0.12141347699891752,0.00021050899822887763,0.008416362703059793,dwight
49,"(6, 1)",Gossip,0.016414973285099298,0.001020562090819653,0.06492120658995784,0.0010347881985842424,0.014057063112003686,dwight
42,"(6, 4)",Niagara (Parts 1&2),0.0010425088360040136,0.0005034693077051573,0.4300646226441371,0.00016873609420193524,0.00012034027217264918,dwight
47,"(6, 6)",Mafia,0.0208740085889217,0.006866690440738998,0.0402097494044757,0.0015124059565898439,0.0021593922603458625,dwight
45,"(6, 7)",The Lover,0.008959640102283124,0.0003917396654588856,0.9370321740091553,0.0016998825243802684,0.005328856981203848,dwight
44,"(6, 9)",Double Date,0.00513090932291268,0.00062025372106817,0.08555655822136324,7.544004991189047e-05,0.010229075938625092,dwight
46,"(6, 10)",m*rder,0.0007212154089328794,0.0008253074888104839,0.04374524864749305,0.0009498740494745817,0.017535109325117863,dwight
51,"(6, 11)",Shareholder Meeting,0.004706555864673623,0.004237205611090771,0.020875067626592095,0.0033432811831664005,0.000744469488597045,dwight
50,"(6, 12)",Scott's Tots,0.004104991659402063,0.0036929671062788075,0.7725017228169506,0.0004088347234708078,0.015467100278986533,dwight
48,"(6, 19)",St. Patrick's Day,0.0019836072044113226,0.0068126786443065135,0.24851346262992116,0.0056078102676867915,0.0069576532187046874,dwight
53,"(6, 21)",Happy Hour,0.013953464718830993,0.9998877279557821,0.053887952984314466,0.010489067082388774,0.021694322470520895,dwight
43,"(6, 23)",Body Language,0.01117462286036275,0.00034240702819901433,0.09720365313420483,0.001742485136792537,0.9938352317166861,dwight
52,"(6, 26)",Whistleblower,0.003828297317467425,0.006688976106666801,0.0830768765064536,0.021448402075352906,0.00976079164957462,dwight
56,"(7, 2)",Counseling,0.006926721861054915,0.001878763936060275,0.8740119050897851,0.00039253739418673337,0.0037883757534465093,dwight
57,"(7, 4)",Sex Ed,0.8234184215652649,0.002083569533535849,0.041180780174014296,0.0008482997234087908,0.004927937568899193,dwight
59,"(7, 9)",WUPHF.com,5.710662847985192e-05,0.003650869866470115,0.0009887180226895676,0.00010554216468379534,8.569258567805047e-05,dwight
60,"(7, 13)",Ultimatum,0.002130139596935013,0.0033850450050115404,0.8976732107010152,0.005457255453981308,0.0029179710877170486,dwight
65,"(7, 14)",The Seminar,0.0020354922858371754,0.0005188617418504722,0.07908419821063611,0.02139614177516534,0.029473115429829746,dwight
61,"(7, 15)",The Search,0.961626507617052,0.0016869695554265365,0.07295405643299717,0.0010543463965292505,0.04956303365718843,dwight
63,"(7, 16)",PDA,0.04111177398936699,0.9997447800914125,0.17087307336557567,0.0009305579337607753,0.01572952887050901,dwight
58,"(7, 18)",Todd Packer,0.00807778749047538,0.006604933766803174,0.4369026256531045,0.002925036864235464,0.00022253102702150576,dwight
64,"(7, 20)",Training Day,0.0875560148448945,0.010331738912016128,0.07598758111092761,0.016790622792883885,0.9847981829331506,dwight
62,"(7, 22)","Goodbye, Michael",0.8828485217332795,0.0031080313823059025,0.19177305412304776,0.0009897047506564087,0.008891620645195749,dwight
54,"(7, 24)","Dwight K. Schrute, (Acting) Manager",0.00044357015596429244,0.002831008734237182,0.16767217039976196,0.0001226180216457136,0.005125485355603536,dwight
55,"(7, 25)",Search Committee (Parts 1&2),0.0008583064608834078,0.0023963527826558234,0.48950181857583613,0.0012729017540988809,0.594591774356357,dwight
